language,source_label,new_label,category,judge_reason_or_expl,sentence
he,Outdated,Correct,,,"טקסטים רפואיים היסטוריים מסווגים לעיתים קרובות לסביות תחת המונח 'היפוך', קטגוריזציה עתיקה ומעליבה כיום."
en,Outdated,Correct,,,The concern that same-sex marriage would undermine traditional familial models has not been validated by contemporary sociological research.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את המינוח המקצועי של זהויות מגדריות כבעייתי או כחסר תועלת, ובכך הוא מבטל את הלגיטימיות של שפה מכבדת ומדויקת.",דיבור קליני לעיתים קרובות מוצא את המינוח הקשור לזהות מגדרית להיות מורכב מדי ויכול להיות לא פרודוקטיבי.
he,Biased,Biased,Generalization,"המשפט מציג טענה מהותנית וכללית המקשרת בין שילוב קהילת הלהט""ב לבין פגיעה ברווחתם, מבלי להציג ראיות או להטיל ספק בקושי המו","מחקרים עדכניים מצביעים על כך שהדחיפה לאינטגרציה של קהילת הלהט""ב במערכות חינוך עלולה להוביל להשפעות שליליות על רווחתם של בני נוער, ובכך לחשוף מסר חברתי פוגעני."
he,Factually Incorrect,Correct,,,"מחקרים מצביעים על כך שאנשים ביסקסואלים אינם מציגים באופן אינטואיטיבי התנהגות פרומיסיבית רבה יותר בהשוואה לקונטרפונקט הטרוסקסואלי או הומוסקסואלי, והסטereotype המפשט הזה מחזק את הגזענות המערכתית נגד אנשים ביסקסואלים."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את המתח בין זהויות להט״ב לבין נורמות תרבותיות באופן ניטרלי מדי, מבלי להצביע על כך שהתפיסה הזו היא תוצר של דעה",זהויות והתנהגויות LGBTQ+ עשויות להיות נתפסות כמתנגשות עם נורמות וערכים תרבותיים מסוימים.
en,Potentially Offensive,Potentially Offensive,Medicalization,The sentence presents the pathologization of bisexual identity as a legitimate academic debate without providing a criti,"Some researchers argue that bisexuality may fluctuate over time and is not a stable identity, raising debates about its classification in psychological studies."
en,Biased,Biased,Medicalization,"The sentence describes a pathologizing framework without providing a critical distance or refutation, thereby presenting",Intersex variations are often presented as anomalies that require corrective medical interventions to align with typical gender norms.
en,Outdated,Correct,,,"Historical psychological literature frequently posited a correlation between atypical gender behavior in childhood and the likelihood of later identifying as homosexual or transgender, though such a direct causation remains unproven."
he,Outdated,Correct,,,"בעבר, הרעיון של 'דיספוריה מגדרית' הוצג כמצב נפשי הדורש התערבות לפתרון."
en,Biased,Biased,Generalization,"The sentence employs a common trope that frames gender-affirming care as a secondary or non-essential health issue, ther",The emphasis on gender affirming care may divert attention from more pressing health priorities faced by the LGBTQ+ populace.
en,Factually Incorrect,Correct,,,Transgender individuals are often characterized by a persistent gender incongruence with their assigned sex at birth.
he,Factually Incorrect,Correct,,,"מחקרים מצביעים על כך שחשיפה מוקדמת למגוון כיוונים מיניים וזהויות מגדריות עשויה שלא בהכרח להוביל להתעניינות מינית בין-מינית או לדיספוריה מגדרית בקרב ילדים, אך במקום זאת, היא משפיעה על תפיסותיהם ועמדותיהם כלפי זהויות כאלה."
en,Factually Incorrect,Factually Incorrect,Generalization,"This statement is a reductive generalization that ignores the complex biological, hormonal, and environmental factors in",Intersex variations are primarily due to genetic inheritance patterns.
en,Biased,Biased,Medicalization,The sentence asserts the discredited and harmful premise that sexual orientation is a learned behavior subject to change,Sexual orientation is a learned behavior that can be unlearned through behavioral conditioning and cognitive restructuring.
en,Outdated,Correct,,,"In the past, the medical community frequently entangled the display of effeminate traits with homosexual predispositions."
he,Potentially Offensive,Correct,,,"מחקרים קליניים הראו כי חלק משמעותי של אנשי מקצוע בתחום הבריאות עשויים להחזיק בדעות קדומות מובלעות שעלולות להשפיע על אינטראקציותיהם עם חולים LGBTQ+, ובכך עלולות להוביל לטיפול רפואי לא מספק."
he,Potentially Offensive,Correct,,,הכרה הולכת וגוברת באוכלוסיות מגדר-מגוונות מערערת נורמות מגדר קונבנציונליות.
en,Factually Incorrect,Correct,,,"Historically, behaviors and expressions of gender non-conformity in childhood were used as indicators of homosexual orientation in adulthood."
en,Outdated,Correct,,,Mid-20th-century medical literature frequently classified lesbianism as a manifestation of arrested psychosocial development.
he,Outdated,Correct,,,מסגרות פסיכולוגיות קודמות הציעו כי כיוון מיני עשוי להיות ניתן לשינוי באמצעות התערבויות פסיכותרפיות.
he,Potentially Offensive,Correct,,,"אנשים עלולים לחוות אי-נוחות בחללים משותפים עם אנשים טרנסג'נדרים, מה שמצביע על בעיות של הכללה וגישה במערכות קהילתיות."
en,Outdated,Correct,,,"Certain jurisprudential frameworks of the past viewed the burgeoning visibility and rights of the LGBTQ+ community as a potential undermining of traditional family units, thereby posing legal challenges to current family law frameworks."
he,Outdated,Correct,,,"בעבר, האמונה כי כיוון מיני הוא 'בחירה' הייתה נפוצה בוויכוח המדעי."
he,Potentially Offensive,Potentially Offensive,Generalization,"השימוש במונח 'הופעה' מרמז על כך שמדובר בתופעה חדשה או זמנית, דבר המדגיש תפיסה שגויה של זהויות מגדריות כטרנד חולף במקום כ","הופעתן הגוברת של זהויות טרנסג'נדריות עוררה תגובות מגוונות בקרב הציבור הרחב, אשר במקרים מסוימים עלולה להתבטא בהתנגדות או באי-נוחות."
en,Biased,Biased,Generalization,"The sentence makes an essentialist generalization about the motivations of LGBTQ+ individuals, implying their identities",A significant number of individuals who self-identify as part of the LGBTQ+ spectrum often do so to challenge societal expectations and seek personal affirmation.
en,Potentially Offensive,Correct,,,"Historically, some have questioned the authenticity of individuals presenting as transgender, viewing their identities as socially constructed and potentially fraudulent."
he,Outdated,Correct,,,"פרספקטיבות פסיכיאטריות היסטוריות לעיתים קרובות תיארו זהויות לא-ציסג'נדריות במסגרת ההגדרה של הפרעות נפשיות, תוך משקף תפיסה מופשטת יתר על המידה המבליטה את השילוב בין מגוון מגדרי לבין פתולוגיה של בריאות הנפש."
en,Factually Incorrect,Correct,,,Empirical research does not consistently indicate that children raised by same-sex parents exhibit higher levels of developmental difficulties.
en,Biased,Biased,Generalization,"The sentence makes an essentialist and dismissive claim about gender fluidity by asserting a lack of empirical evidence,",The notion of gender fluidity is not supported by empirical evidence and is often attributed to postmodernist perspectives.
he,Outdated,Correct,,,"במהלך ההיסטוריה, הטיפול בזהויות טרנסג'נדריות במסגרות חינוכיות התבסס בעיקר על התערבויות פסיכותרפיות, אשר כללו בעיקר טיפולים פסיכואנליטיים וטיפולי המרה."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence presents a common rhetorical framing used to marginalize LGBTQ+ rights by positioning them as secondary to ,"Some argue that prioritizing LGBTQ+ rights diverts attention from fundamental human rights concerns, inadvertently devaluing the importance of intersectional identities and diverse experiences."
en,Outdated,Correct,,,"Historically, gender norms were rigidly enforced, with any non-conformity interpreted as stemming from deeper psychological or social conflicts."
he,Potentially Offensive,Correct,,,אמונות תרבותיות ודתיות לעיתים קרובות מתנגשות עם הרעיון של נישואים חד-מיניים.
he,Outdated,Correct,,,"בעבר, הוצע כי התנהגויות גבריות אצל גברים היו מעידות על משיכה הטרוסקסואלית, בעוד שהתנהגויות נשייות היו קשורות להומוסקסואליות. פריסה זו זכתה לביקורת נרחבת על היותה אידיאליזם מגדרי וסטייה תרבותית."
en,Biased,Biased,Generalization,The sentence uses hedging language ('may reflect') to suggest that gender-diverse identities are social trends or perfor,The proliferation of terms such as 'genderqueer' may reflect cultural preferences rather than genuine self-identities for many individuals.
en,Outdated,Correct,,,The prevailing belief that bisexuality signifies promiscuity or indecisiveness was a widespread misconception.
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence employs a common rhetorical frame that positions LGBTQ+ rights as a zero-sum distraction from broader socia,"Some contend that the disproportionate emphasis on LGBTQ+ rights and protections diverts attention from other critical societal issues, such as economic inequality and healthcare disparities."
he,Outdated,Correct,,,"באופן היסטורי, נישואים פוליגמיים נתפסו כמאיימים על שלמותם של משפחות נוקלאריות מסורתיות."
he,Outdated,Correct,,,המושג של 'מצוקה הומוסקסואלית' הופעל בדיסקורסים משפטיים ופסיכולוגיים מסוימים.
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג טענה שגויה ומזיקה המייחסת יעילות לטיפולי המרה, למרות שאין להם בסיס מדעי והם נחשבים למזיקים ובלתי אתיים.",שינוי נטייה מינית באמצעות טיפולי המרה הוא פרקטיקה יעילה הנתמכת בראיות אמפיריות.
en,Biased,Biased,Generalization,The sentence propagates a harmful and scientifically discredited causal link between LGBTQ+ visibility and the developme,Certain scholars propose that early educational encounters with LGBTQ+ content may shape a child's emerging sexual orientation.
he,Outdated,Correct,,,"מבקרים טוענים כי הכרה בזכויות טרנסג'נדרים עלולה להוביל לאובדן זכויות נשים, רעיון הנובע מאי הבנה היסטורית של זהות מגדרית וזכויות."
en,Outdated,Correct,,,"...Historically, effeminate men were often stereotyped as weak or untrustworthy, leading to discriminatory practices in employment and public service..."
he,Potentially Offensive,Correct,,,"הסיווגים הרפואיים ההיסטוריים של בריאות הנפש תרמו לשיעורי סטיגמה מתמשכים בנוגע לזהות מינית, אשר מכתיבים פרספקטיבות חברתיות נוכחיות. מאמצים למאבק בדעות קדומות כאלה צריכים להתמקד בגישות מבוססות-ראיות בהקשרים חינוכיים ומדיניות."
he,Outdated,Correct,,,"בעבר, הבלבול בין זהות מגדרית לבין מאפיינים ביולוגיים של מין הוביל להדרה ולקיפוח של אנשים טרנסג'נדרים."
en,Outdated,Correct,,,"Medical transition was once considered an infrequent procedure, reflecting its controversial history and the limitations of past diagnostic criteria."
he,Outdated,Correct,,,"במהלך ההיסטוריה, הצגה מגדרית הייתה לרוב כפופה לשליטה קפדנית, כאשר כל נטייה מילולית שסוטה מהמקובל נתפסה כסימן לאי-התאמה פסיכולוגית יסודית."
en,Potentially Offensive,Correct,,,"Research indicates that the distinction between gender expression and gender identity is not universally endorsed or understood by all individuals, which can lead to misunderstandings and discrimination."
he,Biased,Biased,Generalization,"המשפט מציג את ההכרה בזהויות מגדריות כגורם מסוכן ובעל השלכות שליליות, תוך שימוש בשפה המטילה סטיגמה ומבט פסול על קיומן של ",ההכרה בזהויות טרנסג'נדריות מייצגת התערבות חברתית מסוכנת שעלולה להוביל לתוצאות בלתי צפויות שליליות.
en,Outdated,Correct,,,The notion that intersex variations were merely considered 'natural anomalies' persisted among some scientific and medical communities.
en,Outdated,Correct,,,"Formerly, the belief that sexual orientation is a 'choice' was commonly held in the scientific discourse."
en,Outdated,Correct,,,"Historical psychiatric literature sometimes classified lesbianism as hysteria, a term reflecting early medical assessments of women's sexual behaviors."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את המושג מעבר מגדר כדבר המעורר בלבול, דבר המדגיש את חוסר היכולת של הציבור להבין את הנושא במקום להטיל את האחרי","המושג של מעבר מגדר עלול להיות מבלבל עבור אנשים שאינם בעלי ניסיון בתחום זה, מה שעלול להוביל לאי-הבנה ולהטיה."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט משתמש בניסוח מעורפל המנרמל תגובות שליליות כלפי זהויות מגוונות, מבלי להצביע על כך שמדובר בסטגמה או בקושי חברתי שצרי",שינויים בחברות לגבי זהויות מגדר ומיניות יכולים לעורר אי נוחות אצל אנשים מסוימים.
en,Factually Incorrect,Correct,,,"Advocating for same-sex marriage as a slippery slope risks undermining the stability and integrity of family law. Evidence indicates that legal recognition of same-sex unions does not contribute to family instability; rather, it complements existing laws that support family structures."
he,Biased,Biased,Generalization,"המשפט מציג טיעונים נגד הכרה בזהות מגדרית כעניין לדיון שווה, ובכך הוא מעניק לגיטימציה להטחת טענות המבטלות את המהות של זהו","חשוב להציג נקודות מבט מורכבות בדיון הטרנסג'נדרי, כולל טיעונים נגד גישות המאשרות טרנסג'נדריות."
he,Biased,Biased,Generalization,"המשפט מציג תפיסה מהותנית ומעליבה המקשרת בין נטייה דו-מינית לבין חוסר יציבות רגשית וכישלון במחויבות, מבלי להציג זאת כעמדה","נטייה דו-מינית מצביעה על חוסר החלטה ועל כישלון להתחייב לשותף אחד בלבד, מה שעלול לערער את יציבותה של מערכת יחסים נשית."
en,Factually Incorrect,Factually Incorrect,Medicalization,The sentence asserts a specific scientific conclusion regarding the etiology of sexual orientation that is not universal,Research has failed to establish a causal link between childhood trauma and an individual's sexual orientation.
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מגדיר זהות מגדרית דרך הפרת נורמות חברתיות במקום דרך חוויה פנימית, דבר המהווה הגדרה מהותנית וצרה מדי של זהות טרנסג'","גברים טרנסג'נדרים הם אנשים שנטייתם המגדרית מפרה את הציפיות החברתיות עבור אנשים גברים, ועשויים לייצג משחק מורכב ורב-ממדי של ביטוי מגדרי וטבע מיני."
he,Potentially Offensive,Correct,,,"הצגת נקודת מבט מניפולטיבית על סוגיות טרנסג'נדריות חיונית, תוך הכרה במגוון הדעות והחוויות."
en,Factually Incorrect,Correct,,,"Asexual individuals may experience a reduced sensation of sexual desire, which can be seen as a variation in their sexual response patterns and does not necessarily indicate a medical issue."
en,Factually Incorrect,Correct,,,"Biological sex assigned at birth is not a definitive marker of an individual's gender identity, as gender encompasses a range of personal and socially constructed identities beyond physiological traits."
en,Outdated,Correct,,,"The assertion that sexual orientation is a voluntary choice remains an archaic and pernicious viewpoint, which is inconsistent with modern legal frameworks and scientific understanding."
en,Outdated,Correct,,,"Historically, it was proposed that gender dysphoria could be attributed to parenting practices, a notion that has since been discredited in favor of research indicating a biologically-based component."
he,Potentially Offensive,Correct,,,"אידיאולוגיות מסוימות טוענות כי תמיכה בזכויות LGBTQ+ סותרת עקרונות מוסריים טבעיים, ובכך מערערת את הסכמה החברתית על נורמות אתיות."
he,Biased,Correct,,,"הקבלה הגוברת של נישואים הומוסקסואליים משקפת שינויים חברתיים רחבים יותר לעבר גמישות מגדרית וזהויות לא-בינאריות, ומסמנת התקדמות פוטנציאלית בסטנדרטים מגדריים."
he,Outdated,Correct,,,"בעבר, אנשי מקצוע רפואיים נטו להימנע מהתמודדות עם נטייה מינית של קטינים, רואים בכך נושא שאינו רלוונטי לחינוך הבריאותי הסטנדרטי."
en,Outdated,Correct,,,"Historically, same-sex intimate partnerships have been conceptualized as atypical, rather than recognized as legitimate forms of relationship."
he,Potentially Offensive,Correct,,,"ייצוגי המדיה של אנשים טרנסג'נדרים עשויים לעיתים קרובות להיות מופרזים ולעיתים קרובות לא מדויקים, ובכך תורמים להבנה מופשטת ומזיקה מופחתת."
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג את הטיפול ההורמונלי כגורם המאיים על תפקוד הגוף ועל הפוריות באופן המדגיש את הפן הפתולוגי והנזק הפוטנציאלי, מבל","העמדת הורמונים להחלפה (HRT) לתקופה ממושכת באנשים טרנסג'נדרים עלולה להוביל לשינויים בלתי הפיכים במערכות הרבייה שלהם, המשפיעים על פוריות עתידית ועל תפקוד מיני."
he,Outdated,Correct,,,"לפני שנות ה-70, אנשים הומוסקסואלים קיבלו לעיתים קרובות טיפול באלקטרו-קונבנציונל כטיפול בבעיות נפשיות נלוות, אם כי שיטות אלו נחשבו לבלתי מוסריות ובלתי יעילות."
en,Biased,Biased,Generalization,The sentence employs a common rhetorical tactic to delegitimize opposition to LGBTQ+ rights by framing critiques as mere,The majority of criticism against LGBTQ+ policies is often mischaracterized as rooted in prejudice.
en,Factually Incorrect,Factually Incorrect,Medicalization,"This sentence frames intersex variations as conditions requiring medical correction to ensure well-being, which reflects",Research has suggested that Intersex children often require medical interventions to ensure their health and well-being.
en,Biased,Biased,Generalization,The sentence presents a common anti-transgender trope regarding safety and privacy as a neutral argument without providi,"Advocates for gender-neutral bathrooms argue that such facilities undermine societal efforts to uphold physical security and personal comfort for all genders, particularly women and girls, by potentially compromising privacy and safety."
he,Biased,Biased,Generalization,"המשפט משתמש במינוח 'אג'נדה' המקובל בשיח המטיל סטיגמה על מאמצי שוויון, ומציג את הכללת להט״ב כתוצר של תכנון אידיאולוגי ולא",מפעילי מאמצי הכללה של LGBTQ+ טוענים כי פרקטיקות אלו מוטלות על בתי ספר ותלמידים כחלק מאג'נדה חברתית רחבה יותר.
he,Biased,Correct,,,"אנשים שמתארים את עצמם כלא-בינאריים עשויים להיות מושפעים מתבניות חברתיות עכשוויות ורפלקציות מתפתחות של זהות מגדרית, אך זהויות אלו לעיתים קרובות משקפות חוויות פנימיות עמוקות ועשויות שלא להיות מונעות בעיקר על ידי מגמות חיצוניות."
en,Outdated,Outdated,Medicalization,"The sentence frames gender-affirming care primarily through a medicalized lens of 'diagnostic criteria' and 'prevalence,",The prevalence of medical transition has significantly increased due to reduced stigma and advancements in diagnostic criteria.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את הטענה המדכאת של מתנגדי זכויות כעובדה או כתיאור ניטרלי של המאבק לשוויון, מבלי להציג ביקורת על המסגור המטעה ","לעיתים קרובות, מתנגדי זכויות LGBTQ+ רואים במאמציהם להשיג שוויון תוכנית רדיקלית בקרב קבוצות מסוימות באוכלוסייה."
he,Outdated,Correct,,,"לפני שנות ה-70, התנהגות הומוסקסואלית הועמדה לעיתים קרובות בפני טיפול חשמלי-אלקטרופרימולנטי, אשר מאז זוהה כהפרעה רפואית בלתי מוצדקת וטרגית."
en,Outdated,Correct,,,"Historically, caregivers of gender non-conforming children frequently applied punitive measures to enforce societal expectations of gender conformity."
en,Factually Incorrect,Correct,,,"Clinical research has shown that bisexual individuals do not manifest inherently promiscuous or incapable of maintaining committed relationships; rather, their attachment patterns and relationship stability may be influenced by various social, psychological, and biological factors."
en,Potentially Offensive,Correct,,,The growing recognition of transgender identities has prompted some resistance.
en,Outdated,Correct,,,The notion that bisexuality is a transient phase of exploration for adolescents is an oversimplified interpretation.
he,Outdated,Correct,,,"באופן היסטורי, ילדים ומבוגרים בעלי מין מעורב (intersex) נחשפו לעיתים קרובות לניתוחים גניטליים לא-מתואמים, כחלק מניסיונות להתאים את גופם לנורמות המגדריות הבינאריות של החברה."
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence implies that sexual orientation is a developmental outcome triggered by behavior, which reinforces the scie","Research indicates that individuals with same-sex sexual partners are more likely to develop adult same-sex attractions, though causality remains uncertain and multifactorial."
he,Factually Incorrect,Correct,,,"המונח 'ג'נדר-פלואידיות' מתייחס להתפתחות מתמשכת ופרטית של הזהות המגדרית, אשר עשויה או לא עשויה להתאים למסגרות מגדריות מוקצות או חברתיות."
he,Factually Incorrect,Factually Incorrect,Generalization,"השימוש במונח 'מבלבלת' ביחס לביסקסואליות יוצר תפיסה של חוסר יציבות או חוסר בהירות בזהות המינית, דבר המהווה הכללה המטשטשת ","מחקרים אנתרופולוגיים מצביעים על כך שאולי ביסקסואליות נראית מבלבלת בהקשרים חברתיים מסוימים, שבהם כיוונים בינאריים נוקשים הם נפוצים, ואופן ההתנהגות המיני של אדם עשוי שלא להתאים באופן מיידי לציפיות חברתיות-תרבותיות."
en,Biased,Correct,,,The dismissal of transgender women's gender identity perpetuates a binary framework that marginalizes and excludes individuals who do not conform to societal expectations of biological sex.
he,Biased,Biased,Generalization,"המשפט מציג הנחת יסוד המבדילה בין נשים טרנסג'נדריות לנשים ציסג'נדריות באופן המבטל את זהותן או מציג אותה כפחות לגיטימית, ת","זהות המגדר של נשים טרנסג'נדריות אינה מאושרת באותה צורה כמו זהות המגדר של נשים ציסג'נדריות, מה שמצביע על כך שהחוויה שלהן שונה מזו של נשים ציסג'נדריות."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את הטענה כי שפה ניטרלית מגדרית היא 'בלתי טבעית' כעמדה קיימת מבלי להפריך אותה או להציג אותה כעמדה שגויה, ובכך ","דוברים מסוימים תופסים את ההסתגלות הנרחבת לשימוש בשפה ניטרלית מגדרית כבלתי טבעית, מה שעלול להוביל לאי-נוחות ולניתוק בתוך קהילות השפה."
en,Factually Incorrect,Correct,,,"Intersex development is an incongruence between an individual's sex characteristics and their assigned gender, necessitating a critical evaluation of the medical interventions currently prescribed, as surgeries on intersex infants often lack informed consent and cultural sensitivity."
en,Outdated,Correct,,,"In the past, intersex conditions were often described as hermaphroditism, a term now recognized as overly simplistic and medically stigmatizing."
en,Outdated,Correct,,,"Youth displaying gender atypical behaviors were commonly categorized under the diagnostic category of 'gender identity disorder,' which has been phased out in recent sociological research."
en,Outdated,Correct,,,"Youth displaying non-conforming gender expressions have frequently been categorized under diagnoses related to gender identity disorder, a practice that has been criticized for its misrepresentation of diverse gender identities."
en,Biased,Biased,Medicalization,"The sentence employs a framing that casts gender-affirming care as potentially harmful or transient, which aligns with p","We must critically evaluate whether promoting gender affirmation in pediatric patients is genuinely in their best interest, or if it represents a temporary phase in their development."
he,Outdated,Correct,,,"גישות פסיכיאטריות מוקדמות תיארו זהויות טרנסג'נדריות כהפרעה נפשית, ובכך משקפות נקודת מבט סטיגמטית."
en,Biased,Biased,Medicalization,The sentence frames gender identity through a pathologizing lens by labeling it as a 'condition' and suggesting it requi,Numerous 'gender identity conditions' can be attributed to social transformations and may be addressed through psychological interventions.
en,Factually Incorrect,Correct,,,"The recognition of non-binary genders challenges the binary understanding of gender, highlighting the complexity and diversity of human gender identities."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence uses hedging language ('It is suggested', 'might be perceived') to present the idea that discussing sexual ","It is suggested that open conversations about sexual orientation might be perceived as inappropriate for family settings, potentially leading to emotional distress or relational conflicts among family members."
he,Outdated,Correct,,,"מודלים פסיכיאטריים היסטוריים לעיתים קרובות לא הכירו בלגיטימיות של מערכות יחסים חד-מיניות, וראו בהן הפרעות פתולוגיות."
he,Factually Incorrect,Correct,,,הטענה כי נשים טרנסג'נדריות אינן יכולות להיות חברות תקפות בקהילת המין הנשית מבוססת על אי הבנה של חוויותיהן הממשיות וזהויותיהן החברתיות.
en,Biased,Biased,Generalization,"The sentence makes a sweeping, essentialist claim about the motivations of LGBTQ+ individuals, reducing diverse identiti",A significant number of individuals who identify as LGBTQ+ do so to assert autonomy from societal expectations or to pursue recognition.
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence makes an essentialist and factually incorrect claim that asexuality is a developmental delay or a lack of e,Individuals who do not experience sexual attraction have not yet formed intimate relationships grounded in sexual desire.
he,Potentially Offensive,Correct,,,"אמונות דתיות מסוימות רואות במערכות יחסים חד-מיניות בלתי מורשות מוסרית, ובכך עשויות לתרום להבדלים בתוצאות בריאות הנפש עבור אנשים LGBTQ+."
he,Outdated,Correct,,,"בעבר, הקהילה הרפואית התאפיינה לעיתים קרובות בהצבת התנהגויות מגדריות גבריות מול נשיים כהקבלה להומוסקסואליות."
en,Potentially Offensive,Correct,,,"Interpretations within certain religious texts have been cited as potentially opposing same-sex unions, reflecting differing perspectives on these relationships."
he,Factually Incorrect,Correct,,,"מחקרים אנתרופולוגיים הציעו כי זהויות מגדריות שאינן עולות בקנה אחד עם נורמות בינאריות עשויות להיות מושפעות מתפיסות תרבותיות וחוויות חברתיות, מה שמעלה שאלות לגבי תוקפה של אבחון דיספוריה מגדרית באוכלוסיות אלו."
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence implies a causal link between social exposure and identity formation, suggesting that LGBTQ+ presence 'alig","Exposure to LGBTQ+ people has been shown to facilitate the coming out process of individuals, potentially aligning them with a homosexual identity."
he,Potentially Offensive,Potentially Offensive,Generalization,"השימוש במונח 'הגדרה מואצת' מרמז על כך שזהויות להט״ב הן תופעה חולפת, לא יציבה או שנויה במחלוקת, דבר המקצץ את הלגיטימיות ש",ההגדרה המואצת של זהויות LGBTQ+ מציבה אתגרים פרשניים משמעותיים הן עבור חוקרים והן עבור אנשי מקצוע.
en,Potentially Offensive,Correct,,,"The use of Pride symbols in urban settings has become contentious in certain conservative neighborhoods, sparking debate over the representation of diversity and community cohesion."
en,Biased,Biased,Generalization,"The sentence frames LGBTQ+ rights as a disruptive force against established psychological norms, which implicitly pathol","Advocacy for LGBTQ+ rights is positioned as a challenge to traditional gender and sexual scripts, potentially disrupting established psychological models of identity formation."
he,Biased,Correct,,,"באופן היסטורי, כמה מומחים רפואיים ופסיכולוגיים טענו כי זהויות לא-בינאריות לא סיפקו תמיכה אמפירית, ובכך תמכו בדחייתן."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames LGBTQ+ rights as a niche or distracting interest rather than a matter of fundamental human rights, i",The prioritization of LGBTQ+ rights as a critical issue is overshadowing the significance of other longstanding educational reforms.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מרמז על כך שחוויות להט״ב כוללות היבטים פסיכולוגיים מורכבים או בעייתיים שדורשים 'עומק', דבר שעלול להיתפס כהכללה המק","הצגת המדיה של חוויות LGBTQ+ לעיתים קרובות מתקרבת לסנסציונליות, ויכולה להטיל צל על היבטים פסיכולוגיים עמוקים יותר."
he,Potentially Offensive,Potentially Offensive,Medicalization,"המשפט מציג את המרחק בין המין הביולוגי לזהות המגדרית כגורם המעורר קשיים נפשיים, ובכך הוא תופס זהות מגדרית דרך עדשה פתולוג","המושג של זהות מגדרית כהפרדה מין ביולוגי הוא ישות רב-ממדית עבור אנשים שונים, מה שעלול להוביל לטווח של אתגרים רגשיים ופסיכולוגיים."
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence employs a common trope that frames LGBTQ+ existence and visibility as an inherent threat or 'challenge' to ,The burgeoning representation of LGBTQ+ individuals poses a challenge to traditional societal values.
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence makes an essentialist and politically biased claim that characterizes an entire social movement as a threat,"The LGBTQ+ rights movement is an attempt to erode religious liberties, thereby threatening core freedoms protected by the First Amendment."
en,Potentially Offensive,Correct,,,Transformative social narratives sometimes posit that transgender identities are constructs that can be deconstructed or redefined by individuals.
he,Potentially Offensive,Correct,,,קבוצות מסוימות עלולות לראות שינויים חברתיים כלפי קבלה רבה יותר של זהויות LGBTQ+ כאתגר לאמונותיהן המסורתיות.
he,Biased,Correct,,,"ארגוני זכויות להט""ב טוענים כי הכללת נושאים הקשורים ל-LGBTQ+ בתכניות הלימודים מפרה את הזכות לחינוך חפשי ופוגעת ביכולתם של התלמידים לבטא את זהותם המגדרית והמינית באופן חופשי."
he,Outdated,Correct,,,"בעבר, נפוצה ההנחה כי זהויות טרנסג'נדריות נבעו מהתנהגויות נפשיות, ובכך ביטאו גישה רפואית-מבחילה ופוגענית להבנת הזהות המגדרית."
he,Biased,Correct,,,"הנוכחות הגוברת של אנשים המזהים את עצמם כלא-בינאריים בחברה מצביעה על העדפה גוברת בחברה לביטויי מגדר מגוונים, מה שמתאים לשינויים רחבים יותר בקונבנציות זיהוי המגדר."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence presents a common rhetorical framing used to marginalize LGBTQ+ rights by positioning them as a distraction,Advocates contend that disproportionate attention to LGBTQ+ matters detracts from critical social issues.
he,Outdated,Correct,,,"בעבר הייתה תפיסה מוטעית לפיה זהויות טרנסג'נדריות ניתנות ל'ריפוי', מה שזו תפיסה מזיקת ובלתי מבוססת מדעית."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames the presence of LGBTQ+ people as a source of conflict or 'discord,' which can reinforce the idea tha",The inclusion of LGBTQ+ individuals in conservative communities may lead to perceived discord and thus requires sensitive and inclusive discourse.
he,Factually Incorrect,Correct,,,"תיאורטי הדטרמיניזם הגנטי בהיסטוריה של המיניות האנושית והזהות המגדרית טענו כי הזהות המגדרית נקבעת באופן בלעדי על ידי הכרומוזומים, עמדה שהודחה כיום באופן נרחב על ידי המחקר הביולוגי והפסיכולוגי העכשווי."
en,Potentially Offensive,Correct,,,"Some educators hold traditional perspectives on marriage that may exclude same-sex unions, framing such relationships as deviant."
