Card Name,Card Description,Labels,Members,Due Date,Start Date,List Name,Checklist,Checklist item,Checklist item due,Checklist item member
"[REQ GAP] SR19 — Scalability plan for 200 users","SR19 requires handling ~200 users with horizontal scaling capability. No scaling configuration exists and no load balancer is set up for vLLM or Docling. Create a scalability plan: identify bottlenecks, set up Azure autoscaling, document capacity limits.",High (orange),Shahaf Wieder,2026-07-08,,Shahaf,Steps,Document current architecture bottlenecks (vLLM + Docling),,
,,,,,,,Steps,Calculate capacity: max concurrent users per component,,
,,,,,,,Steps,Design scaling strategy for each bottleneck,,
,,,,,,,Steps,Configure Azure App Service autoscaling rules,,
,,,,,,,Steps,Plan vLLM scaling (multiple instances or queue-based),,
,,,,,,,Steps,Document scaling runbook,,
Create Azure Infrastructure-as-Code,"Infra scripts are manual Azure CLI (azure-setup.sh etc). Convert to declarative Terraform or Bicep for reproducible deployments.",Medium (yellow),Shahaf Wieder,2026-07-08,,Shahaf,Steps,Choose IaC tool (Terraform or Bicep),,
,,,,,,,Steps,Define resource group and networking,,
,,,,,,,Steps,Define App Service or ACI for backend and frontend,,
,,,,,,,Steps,Define PostgreSQL Flexible Server,,
,,,,,,,Steps,Define vLLM VM with GPU,,
,,,,,,,Steps,Test full deployment from scratch,,
Add API endpoint descriptions for documentation,"FastAPI auto-generates /docs but endpoints lack descriptions. Add docstrings and response models to all endpoints for complete OpenAPI spec.",Medium (yellow),Shahaf Wieder,2026-07-08,,Shahaf,Steps,Add description parameter to all router decorators,,
,,,,,,,Steps,Add response_model to all endpoints,,
,,,,,,,Steps,Add example request/response in docstrings,,
